Kernel IP routing table
Destination		Gateway		 	Genmask			 Iface
169.254.0.0		0.0.0.0			255.255.0.0	 U	 ens5(eth2)
192.168.1.0		0.0.0.0			255.255.255.0	 U 	 ens3(eth0)
192.168.3.2		192.168.5.6		255.255.255.255	 UGH	 ens6(eth3)
192.168.5.0		0.0.0.0			255.255.255.252	 U 	 ens5(eth2)
192.168.5.4		0.0.0.0			255.255.255.252	 U 	 ens6(eth3)
192.168.5.6		192.168.5.6		255.255.255.255	 UGH	 ens6(eth3)
192.168.5.8		0.0.0.0			255.255.255.252	 U 	 ens4(eth1)
192.168.5.10		192.168.5.6		255.255.255.255	 UGH	 ens6(eth3)	  
192.168.5.13		192.168.5.6		255.255.255.255	 UGH	 ens6(eth3)
192.168.5.14		192.168.5.6		255.255.255.255	 UGH	 ens6(eth3)
192.168.5.17		192.168.5.6		255.255.255.255	 UGH	 ens6(eth3)
192.168.5.22		192.168.5.6		255.255.255.255	 UGH	 ens6(eth3)
